Staiton.Number,Year,Month,Day,Hour,Rs,RH,Temp,uz
58362,2016,9,16,3,0,96.25,23.026,1
58362,2016,9,16,4,0,96.71666667,22.874,1
58362,2016,9,16,5,0,97.16666667,22.533,1
58362,2016,9,16,6,2.6388,95.44166667,23.03858333,1
58362,2016,9,16,7,7.6248,89.375,24.53608333,1
58362,2016,9,17,8,11.7648,84.39166667,26.16825,1
58362,2016,9,17,9,15.7068,81.64166667,27.11666667,1
58362,2016,9,17,10,17.99352,81.06666667,27.40708333,1
58362,2016,9,17,11,17.4168,72.85,29.6345,1
58362,2016,9,17,12,13.86288,79.51666667,27.66866667,1
58362,2016,9,17,13,18.7308,69.21666667,30.94783333,1
58362,2016,9,17,14,13.73688,76.54166667,28.47491667,1
58362,2016,9,17,15,13.98024,72.29166667,29.27308333,1
58362,2016,9,17,16,8.80416,74.01666667,28.12091667,1
58362,2016,9,17,17,2.73744,78.375,26.13541667,1
58362,2016,9,17,18,0.06336,83,24.68766667,1
58362,2016,9,17,19,0,85.95833333,24.30933333,1
58362,2016,9,17,20,0,86.33333333,24.18058333,1
58362,2016,9,17,21,0,87.55833333,23.73925,1
58362,2016,9,17,22,0,88.625,23.43816667,1
58362,2016,9,17,23,0,88.45,23.5185,1
58362,2016,9,17,0,0,89.35,23.204,1
58362,2016,9,17,1,0,91.53333333,22.74458333,1
58362,2016,9,17,2,0,93.625,22.38116667,1
58362,2016,9,17,3,0,93.75833333,22.26783333,1
58362,2016,9,17,4,0,92.6,22.537,1
58362,2016,9,17,5,0,91.68333333,22.705,1
58362,2016,9,17,6,0.63144,90.91666667,22.79033333,1
58362,2016,9,17,7,10.57752,86.55833333,24.376,1
58362,2016,9,18,8,16.65216,74.125,27.69125,1
58362,2016,9,18,9,11.06352,75.09166667,26.60433333,1
58362,2016,9,18,10,18.72144,71.11666667,28.37183333,1
58362,2016,9,18,11,33.17616,65.18333333,29.54725,1
58362,2016,9,18,12,37.9368,60.725,30.53425,1
58362,2016,9,18,13,25.28352,60.975,30.41616667,1
58362,2016,9,18,14,24.84216,58.33333333,30.73558333,1
58362,2016,9,18,15,12.53016,61.9,28.3675,1
58362,2016,9,18,16,6.2928,66.36666667,26.85725,1
58362,2016,9,18,17,2.25072,69.15,25.41316667,1
58362,2016,9,18,18,0,74.40833333,24.1405,1
58362,2016,9,18,19,0,78.40833333,23.41225,1
58362,2016,9,18,20,0,81.58333333,22.76258333,1
58362,2016,9,18,21,0,83.65833333,22.397,1
58362,2016,9,18,22,0,85.20833333,22.144,1
58362,2016,9,18,23,0,86.41666667,22.25975,1
58362,2016,9,18,0,0,89.00833333,21.85125,1
58362,2016,9,18,1,0,91.00833333,21.55475,1
58362,2016,9,18,2,0,91.65833333,21.43333333,1
58362,2016,9,18,3,0,92.01666667,21.356,1
58362,2016,9,18,4,0,91.76666667,21.43933333,1
58362,2016,9,18,5,0.08208,91.34166667,21.465,1
58362,2016,9,18,6,3.26088,90.61666667,21.90916667,1
58362,2016,9,18,7,12.00816,84.83333333,23.9965,1
58362,2016,9,19,8,11.03544,79.5,25.38108333,1
58362,2016,9,19,9,15.58944,76.85,26.00133333,1
58362,2016,9,19,10,10.03752,74.76666667,26.41733333,1
58362,2016,9,19,11,29.51352,66.55,28.68241667,1
58362,2016,9,19,12,39.76344,58.25,30.587,1
58362,2016,9,19,13,21.6108,59.16666667,29.50225,1
58362,2016,9,19,14,19.6488,60.09166667,29.11383333,1
58362,2016,9,19,15,8.94744,63.94166667,26.80725,1
58362,2016,9,19,16,6.76944,65.64166667,25.75641667,1
58362,2016,9,19,17,1.45152,69.79166667,24.4425,1
58362,2016,9,19,18,0,71.49166667,23.02833333,1
58362,2016,9,19,19,0,73.35,22.196,1
58362,2016,9,19,20,0,76.28333333,21.48316667,1
58362,2016,9,19,21,0,80.04166667,20.72183333,1
58362,2016,9,19,22,0,79.975,20.442,1
58362,2016,9,19,23,0,82.65833333,20.26741667,1
58362,2016,9,19,0,0,82.63333333,20.571,1
58362,2016,9,19,1,0,84.11666667,20.36658333,1
58362,2016,9,19,2,0,86.24166667,19.89841667,1
58362,2016,9,19,3,0,87.83333333,19.62675,1
58362,2016,9,19,4,0,89.575,19.13116667,1
58362,2016,9,19,5,0.06336,90.73333333,18.909,1
58362,2016,9,19,6,4.28472,88.55833333,19.98416667,1
58362,2016,9,19,7,15.81408,78.15,23.08783333,1
58362,2016,9,20,8,14.3748,68.025,25.25366667,1
58362,2016,9,20,9,25.84944,58.99166667,27.63175,1
58362,2016,9,20,10,32.0508,55.30833333,28.71175,1
58362,2016,9,20,11,33.59952,54.34166667,29.21408333,1
58362,2016,9,20,12,21.92616,51.975,29.84241667,1
58362,2016,9,20,13,25.00488,52.26666667,29.36875,1
58362,2016,9,20,14,16.89552,52.63333333,29.03075,1
58362,2016,9,20,15,10.42344,54.76666667,28.459,1
58362,2016,9,20,16,5.5008,61.43333333,26.49366667,1
58362,2016,9,20,17,0.97416,66.125,24.8375,1
58362,2016,9,20,18,0,70.51666667,23.683,1
58362,2016,9,20,19,0,74.76666667,23.01016667,1
58362,2016,9,20,20,0,78.4,22.39741667,1
58362,2016,9,20,21,0,81.20833333,21.891,1
58362,2016,9,20,22,0,85.79166667,21.19275,1
58362,2016,9,20,23,0,88.09166667,20.849,1
58362,2016,9,20,0,0,88.60833333,20.72608333,1
58362,2016,9,20,1,0,89.69166667,20.35466667,1
58362,2016,9,20,2,0,90.56666667,20.23575,1
58362,2016,9,20,3,0,91.675,19.93408333,1
58362,2016,9,20,4,0,92.65833333,19.8625,1
58362,2016,9,20,5,0.10872,92.59166667,19.99141667,1
58362,2016,9,20,6,4.06944,91.725,21.08233333,1
58362,2016,9,20,7,13.85352,82.45,24.54783333,1
58362,2016,9,21,8,14.15952,69.91666667,26.55858333,1
58362,2016,9,21,9,16.9848,62.025,27.5095,1
58362,2016,9,21,10,14.6268,60.76666667,27.83808333,1
58362,2016,9,21,11,25.39008,58.03333333,28.53883333,1
58362,2016,9,21,12,17.35416,56.74166667,28.718,1
58362,2016,9,21,13,14.16888,58.73333333,27.75983333,1
58362,2016,9,21,14,5.08752,58.025,26.38658333,1
58362,2016,9,21,15,3.27888,61.925,25.42458333,1
58362,2016,9,21,16,1.22616,68.53333333,24.819,1
58362,2016,9,21,17,0.78408,81.28333333,23.24241667,1
58362,2016,9,21,18,0,85.875,22.489,1
58362,2016,9,21,19,0,87.03333333,22.08625,1
58362,2016,9,21,20,0,87.10833333,21.961,1
58362,2016,9,21,21,0,88.31666667,21.893,1
58362,2016,9,21,22,0,88.825,21.87508333,1
58362,2016,9,21,23,0,88.24166667,21.64825,1
58362,2016,9,21,0,0,88.71666667,21.05966667,1
58362,2016,9,21,1,0,90.66666667,20.5035,1
58362,2016,9,21,2,0,91.075,20.52725,1
58362,2016,9,21,3,0,91.96666667,20.80933333,1
58362,2016,9,21,4,0,92.51666667,20.16433333,1
58362,2016,9,21,5,0,92.81666667,20.46191667,1
58362,2016,9,21,6,3.08952,91.8,21.36025,1
58362,2016,9,21,7,12.72816,75.05,25.94383333,1
